Egg Number,Width,Height,SI,ECC,GDM,SPH,Sex
467,1060,768,0.724528302,0.689245051,855.0852895,80.66842354,1
475,1034,755,0.730174081,0.683261159,838.4390181,81.08694565,1
476,1028,743,0.722762646,0.691096345,827.9235715,80.5373124,1
477,1027,749,0.729308666,0.684184821,832.1047982,81.02286254,1
479,1031,769,0.745877789,0.666082821,847.9503979,82.24543141,1
480,1042,755,0.724568138,0.689203173,840.5957839,80.67138041,1
482,945,752,0.795767196,0.60560265,811.5011941,85.87314224,0
483,1083,752,0.694367498,0.719620579,849.2222792,78.41387619,1
488,1007,738,0.732869911,0.680368793,818.5541187,81.28640702,0
491,1084,731,0.674354244,0.738407986,833.5941894,76.89983297,1
495,998,766,0.76753507,0.641006955,836.6221531,83.82987506,0
496,1004,729,0.726095618,0.687593742,811.0785632,80.78471745,0
497,1050,792,0.754285714,0.656546313,870.0546934,82.86235175,1
499,1076,710,0.659851301,0.751396207,815.5357237,75.79328287,1
507,1045,742,0.710047847,0.704153432,831.7153184,79.58998262,1
